,audio_path,ground_truth,transcription,inference_time,Semantic_Analysis
0,2024_07_09 10_31_30 NtuyGQ.wav,"I would like to order a Patty Melt without the bun and a Tuscan Gourmet cooked to a medium level, please.",i would like to order a patty melt without the bun and a tuscan houromeet cook to a medium level please,0.5827178955078125,0.9686215012555018
1,2024_07_09 21_11_19 3yCioQ.wav,"May I get a small California salad with arugula and some Gilroy garlic tots, please?",may i get a small california salad with arugula and some gilroy garlic tots please,0.0657687187194824,1.0
2,2024_07_12 03_34_50 Ap-fWA.wav,"""May I order the House Special Beef, and could you please add a side of Snow Peas to it?""",may i order a house special beef and could you please add a side of snow peas to it,0.062657356262207,0.997800798910133
3,2024_07_24 12_22_36 fNFdZw.wav,"Can I have a Buffalo Chicken Sandwich with a side of Curly Fries, and also could you please add an order of Onion Rings to that?",can i have the buffalo chicken sandwich with a side of curly fries and also could you please add an order of onion drings to that,0.0628132820129394,0.9664262433139544
4,2024_07_10 09_55_57 x5sltA.wav,"""I would like to order a Hawaiian Pizza with Parmesan Bagel and another one with Jalapeño Bagel, please.""",i would like to order a hawaiian pizza with parmesan pakast and another one with jalapeno bakgeres,0.0568175315856933,0.9430327268811833
5,2024_07_11 00_17_17 EuE5pQ.wav,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.",i would like to order some spicy chicken wings and could you please add aide of fresh spinach as well thank you,0.0637097358703613,0.990796693118533
6,2024_07_13 20_39_29 1SBf5g.wav,"Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one on whole grain wheat bread? Thank you.",could i please have a plate of ham and eggs served with fresh fruit on the side as well as another one whole grain wheat bread thank you,0.0800402164459228,0.9981248628940611
7,2024_07_15 16_25_07 Q-7aJQ.wav,"""May I order a personal-sized House Salad?""",may i order a personal sized house salad,0.063251256942749,0.9920116941958969
8,2024_07_15 16_15_31 ZsEMDQ.wav,"Can I order a plate of ham and eggs served on an English muffin, as well as another one with the same dish but accompanied by corn tortillas?",can i hold a plate of ham and eggs served on the english muffin as well as another one with the same dish but accompanied by corn potatas,0.069650650024414,0.9207943509671289
9,2024_06_28 12_20_04 1yAY7A.wav,"One Pozole with Flour Tortilla, Filete Empanizado with Blue Cheese, and Quesadillas De Harina for me.",one pozzole with flour tortilla fileette empanisato with blue cheese and quesadillas di harina for me,0.057652473449707,0.9250326733098351
10,2024_07_15 16_20_53 zYuDCw.wav,"May I please have a Nashville Hot Tender Box with three Nashville hot chicken tenders, as well as the Bruschetta topped with Tuscan beans and sun-dried tomatoes?",may i please have a nashville hot tenderbox with free nashville hot wings tenders as well as a bruschetta topped with tuscan beans and sun dried tomatoes,0.0785555839538574,0.934397309229609
11,2024_07_09 10_05_32 4bVTHg.wav,"I need a bowl of Pozole served with crispy corn tortillas on the side, and for my main course, I would like a Filete Empanizado also accompanied by some freshly made corn tortillas. Thank you!",i need a bowl of pzzoli served with crispy corn tortillas on the side and for my main course i would like a fileet empanisaro also accompanied by some freshly made corn tortillas thank you,0.0804743766784668,0.9321919484661898
12,2024_07_15 19_51_09 3Foa2Q.wav,"Can I order a house salad, one dressed in Caesar and another with Thousand Island?",can i order a house salad one dressed in cesar another with thousand island,0.0625081062316894,0.9623485594929467
13,2024_07_11 00_18_13 3wAUVg.wav,"Do you have a Fowl Italian dish served with sweet rolls, and could I also get the Parmigiana Sandwich accompanied by some delicious sausage links? Thank you!",we have a small italian dish served with sweetness and could i also get the barbecueian sandwich accompanied by some delicious sauslinks,0.0832517147064209,0.7946483376449438
14,2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!",can you bring me plain trolltry please and for that one special ker you have it with wi troll thank you,0.0621795654296875,0.6944885263130437
15,2024_07_04 06_29_38 Izfx2Q.wav,"Could you add the Side Avocado, and Triple Chocolate?",then you add the sideed avocado and triple chocolate,0.0565767288208007,0.9345022998556499
16,2024_07_09 09_46_01 E-d4lw.wav,"I would like to try the Beyond Chicken Sandwich Combo with a Buffalo twist, and also the Swai Meal prepared Fajita style. Thank you!",i would like you to try the beyond chicken sandwich combo with our fellow tists and also the swing bey prepared fajima stice thank you,0.0636985301971435,0.8464494754593287
17,2024_07_12 03_36_48 P_F2dg.wav,"I will have the ham and eggs on rye toast, please, along with a side of hash browns. And for my second order, could I also get another serving of ham and eggs but prepared over medium? Thank you!",i will have the ham and eggs on rye toast please along with a side of hash browns and for my second order could i also get another serving of ham and eggs but prepared over medium thank you,0.0805757045745849,1.0
