audio_path,ground_truth,transcription,inference_time
2024_07_09 10_31_30 NtuyGQ.wav,"I would like to order a Patty Melt without the bun and a Tuscan Gourmet cooked to a medium level, please.",i would like to order a patty melt without the bun and a tuscan houromeet cook to a medium level please,0.5827178955078125
2024_07_09 21_11_19 3yCioQ.wav,"May I get a small California salad with arugula and some Gilroy garlic tots, please?",may i get a small california salad with arugula and some gilroy garlic tots please,0.06576871871948242
2024_07_12 03_34_50 Ap-fWA.wav,"""May I order the House Special Beef, and could you please add a side of Snow Peas to it?""",may i order a house special beef and could you please add a side of snow peas to it,0.06265735626220703
2024_07_24 12_22_36 fNFdZw.wav,"Can I have a Buffalo Chicken Sandwich with a side of Curly Fries, and also could you please add an order of Onion Rings to that?",can i have the buffalo chicken sandwich with a side of curly fries and also could you please add an order of onion drings to that,0.06281328201293945
2024_07_10 09_55_57 x5sltA.wav,"""I would like to order a Hawaiian Pizza with Parmesan Bagel and another one with Jalapeño Bagel, please.""",i would like to order a hawaiian pizza with parmesan pakast and another one with jalapeno bakgeres,0.05681753158569336
2024_07_11 00_17_17 EuE5pQ.wav,"I would like to order some spicy chicken wings, and could you please add a side of fresh spinach as well? Thank you.",i would like to order some spicy chicken wings and could you please add aide of fresh spinach as well thank you,0.06370973587036133
2024_07_13 20_39_29 1SBf5g.wav,"Could I please have a plate of ham and eggs served with fresh fruit on the side, as well as another one on whole grain wheat bread? Thank you.",could i please have a plate of ham and eggs served with fresh fruit on the side as well as another one whole grain wheat bread thank you,0.08004021644592285
2024_07_15 16_25_07 Q-7aJQ.wav,"""May I order a personal-sized House Salad?""",may i order a personal sized house salad,0.06325125694274902
2024_07_15 16_15_31 ZsEMDQ.wav,"Can I order a plate of ham and eggs served on an English muffin, as well as another one with the same dish but accompanied by corn tortillas?",can i hold a plate of ham and eggs served on the english muffin as well as another one with the same dish but accompanied by corn potatas,0.06965065002441406
2024_06_28 12_20_04 1yAY7A.wav,"One Pozole with Flour Tortilla, Filete Empanizado with Blue Cheese, and Quesadillas De Harina for me.",one pozzole with flour tortilla fileette empanisato with blue cheese and quesadillas di harina for me,0.05765247344970703
2024_07_15 16_20_53 zYuDCw.wav,"May I please have a Nashville Hot Tender Box with three Nashville hot chicken tenders, as well as the Bruschetta topped with Tuscan beans and sun-dried tomatoes?",may i please have a nashville hot tenderbox with free nashville hot wings tenders as well as a bruschetta topped with tuscan beans and sun dried tomatoes,0.07855558395385742
2024_07_09 10_05_32 4bVTHg.wav,"I need a bowl of Pozole served with crispy corn tortillas on the side, and for my main course, I would like a Filete Empanizado also accompanied by some freshly made corn tortillas. Thank you!",i need a bowl of pzzoli served with crispy corn tortillas on the side and for my main course i would like a fileet empanisaro also accompanied by some freshly made corn tortillas thank you,0.0804743766784668
2024_07_15 19_51_09 3Foa2Q.wav,"Can I order a house salad, one dressed in Caesar and another with Thousand Island?",can i order a house salad one dressed in cesar another with thousand island,0.06250810623168945
2024_07_11 00_18_13 3wAUVg.wav,"Do you have a Fowl Italian dish served with sweet rolls, and could I also get the Parmigiana Sandwich accompanied by some delicious sausage links? Thank you!",we have a small italian dish served with sweetness and could i also get the barbecueian sandwich accompanied by some delicious sauslinks,0.0832517147064209
2024_07_10 12_19_17 FSCp3w.wav,"Can you bring me a plain tri-tip, please? And for the November Special, could I have it with wheat rolls? Thank you!",can you bring me plain trolltry please and for that one special ker you have it with wi troll thank you,0.0621795654296875
2024_07_04 06_29_38 Izfx2Q.wav,"Could you add the Side Avocado, and Triple Chocolate?",then you add the sideed avocado and triple chocolate,0.05657672882080078
2024_07_09 09_46_01 E-d4lw.wav,"I would like to try the Beyond Chicken Sandwich Combo with a Buffalo twist, and also the Swai Meal prepared Fajita style. Thank you!",i would like you to try the beyond chicken sandwich combo with our fellow tists and also the swing bey prepared fajima stice thank you,0.06369853019714355
2024_07_12 03_36_48 P_F2dg.wav,"I will have the ham and eggs on rye toast, please, along with a side of hash browns. And for my second order, could I also get another serving of ham and eggs but prepared over medium? Thank you!",i will have the ham and eggs on rye toast please along with a side of hash browns and for my second order could i also get another serving of ham and eggs but prepared over medium thank you,0.08057570457458496
2024_07_09 09_24_15 Ud57cA.wav,Could you please serve me a turkey sandwich with cottage cheese on it?,could you please serve me a turkey sandwich i've cotton cheese on,0.05350136756896973
2024_07_09 19_01_30 jpD6Vw.wav,"May I get a Patty Melt on a bagel and also, could you please prepare another one with a wheat bun? Thank you.",may i get a patty melt on a bagel and also could you please prepare another one with a wheat bun thank you,0.0606844425201416
2024_07_09 10_23_13 mPlfgQ.wav,"Could I please have a hot dog topped with Shirley Temple sauce, and on the side, could you also bring me some chocolate milk? Thank you!",could i please have a hot dog topped with shirley temple sauce and on the side could you also bring me some chocolate milk thank you,0.06496310234069824
2024_06_28 11_23_03 hEN1IQ.wav,"Could I get a Canadian Bacon, and Super Nachos with veggies?",could i get a canadian bacon and super nachos with veggies,0.05982470512390137
2024_07_11 00_06_13 QTEDDg.wav,May I please have a B.L.T. sandwich with the addition of white cheddar mac and cheese on the side? Thank you!,may i please have a blt sandwich with the addition of white cheddar mac and cheese on the side thank you,0.0593264102935791
2024_06_28 11_42_49 JayBxQ.wav,"I'll have a Sizzinling Beef With Black Pepper Sauce, Hunan Chicken (Spicy), and Pork Chop Sui.",i'll have a sizzling beef with black pepper sauce hounan chicken spicy and pork chop set,0.07324934005737305
2024_07_15 16_13_15 8BixZQ.wav,"""I will have a classic Patty Melt, and could you please add some crispy potato chips on the side?""",i will have a classic patelt and could you please add some crispy potato chips on the side,0.05980515480041504
2024_07_15 16_21_50 bUHFBA.wav,"I would love to start my meal with a delicious turkey sandwich, one without any sprouts and another on an egg bagel. Could you please prepare those for me?",i would love to start my meal with a delicious turkey sandwich one without any sprouts and another one on egg bakl could you please prepare those for me,0.07989501953125
2024_07_09 09_26_31 uXLE2Q.wav,"Please give me the Beyond Chicken Sandwich Combo with BBQ sauce, and also add a Surf 'n Turf featuring Cod. Thank you!",please give me the beyond chicken sandwich combo with barbecue sauce and also add a serve and tur feature calledod thank you,0.06545782089233398
2024_07_15 19_35_02 n6_VlA.wav,"I need a perfectly cooked Petrale Sole, and for my appetizer, I would like to try the Dragon Roll. Could you please make sure they are both prepared with care? Thank you!",i need a perfectly cooked petrol sle and for my appetizer i would like to try the dragon roll could you please make sure they are both prepared with care thank you,0.07555389404296875
2024_06_28 11_12_40 DbcADQ.wav,"Add a Seekh Kebab, and Tandoori Chicken with Large 14"" to my cart.",add a safe color oven into which you can make fourteen inch ls to my cart,0.06750774383544922
2024_07_09 10_03_35 fysiOg.wav,"Could you please serve me a cheeseburger, one topped with tangy blue cheese and another featuring classic American cheese? Thank you.",could you please serve me a cheeseburger one topped with tangy blue cheese and another featuring classic american cheese thank you,0.06172466278076172
2024_07_09 10_05_41 fxSRjg.wav,"""I would appreciate a large Reuben sandwich made with milk.""",i would appreciate a large reuben sandwich made with milk,0.059035539627075195
2024_07_15 16_25_45 67yegg.wav,"Do you have a Gorgonzola cheese selection on your menu, preferably served atop a freshly baked wheat bread base?",do you have a corganzola cheese selected on your menu preferably serve atop a fresh baked wheat bread paste,0.07725334167480469
2024_07_30 02_01_44 Vzukvg.wav,"I would like to order a classic hamburger, but instead of the usual bun, I would love it served on a warm, flaky biscuit with some savory gravy on top. Thank you!",i would like to order a classic hamburger but instead of the usual oneun i would love it served on a warm flaky biscuit with some savory gravy on top thank you,0.07073450088500977
2024_07_09 18_53_55 79ej3Q.wav,"I need a B.L.T. sandwich paired with a freshly brewed cup of coffee, and on the side, could I also get some garlic-seasoned sliced turkey? Thank you!",i need a bl te sandwich paired with a freshly brewed cup of coffee and on the side could i also get some garlic seasoned sliced turkey thank you,0.0693819522857666
2024_07_11 00_43_00 EuduYQ.wav,"Could I get a hamburger with extra mayo on the side, and please make sure there's no tomato in it? Thank you!",could i get a hamburger with extra mayo on it and please make sure there's no tomato in it thank you,0.05692863464355469
2024_07_23 15_00_39 JP3Oaw.wav,May I please have a classic ham and eggs breakfast served alongside an assorted fruit plate?,egg ple these have a classic ham and eggs breakfast served alongside an asserted touplate,0.06543636322021484
2024_07_07 17_40_59 Pjtm0g.wav,"I will take a Super Quesadilla, please, but instead of the usual ingredients, could you make it with breaded beef as used in your Tortas? I think that combination sounds delicious!",i will take a super cassadilla please but instead of the usual ingredients could you make it with breaded beef as used in your tortas i think that combination sounds delicious,0.06832647323608398
2024_06_28 11_47_22 YhiDbA.wav,"I'll have the Cheese Omelette with Toast, and Side Avocado please.",i'll have the cheese omelette with toast and side avocado please,0.051282644271850586
2024_07_30 02_06_01 jtMoUA.wav,"Can I order a surf and turf with a side of quinoa, about 4 oz in size, along with a hearty cheeseburger accompanied by some loaded garlic mashed potatoes?",can i order a serf and turf with a side of quinoa about four ounces in size along with a hearty cheeseburger accompanied by some loaded garlic mashed potatoes,0.07011723518371582
2024_07_24 12_10_57 p-vibA.wav,"I want to order a chimichanga made with delicious corn tortillas, please.",i want to order a chimichanga made with delicious corn trty as please,0.053493499755859375
2024_07_12 03_43_18 bpivlw.wav,"I would like to try the Camarones Rancheros served on a crispy corn tortilla, and also could I get a Tostada with some savory refried beans?",i would like to try the camaroons rancheros served on a crispy corn tortilla and also could i get a tostada with some savourory refried beans,0.07410645484924316
2024_07_12 03_39_36 wTgwsQ.wav,"""I would like to start off my meal with a bowl of the Chef's Soup of the Day, please.""",i would like to start off my meal with a bowl of chef's soup of the day please,0.050255775451660156
2024_07_09 10_06_28 RXv72w.wav,"I will have a cheeseburger with jalapeno sweet heat slaw and a hamburger served on bruschetta avocado toast, please.",i will have a cheeseburger with jalapeno sweet heatlaw and a hamburger served on a bruschettavocado toast plereeese,0.06523513793945312
2024_07_12 03_23_16 Ze0w1g.wav,"May I order a cheeseburger topped with creamy avocado and melted cheddar, please?",may i order a cheeseburger topped with creamy avocado and melted cheddar please,0.07002925872802734
2024_07_11 00_32_58 5uRkzQ.wav,"""I will have a hot dog served with an ice-cold refreshing iced tea, and for my second dish, I would like some cheese curds without any sauce.""",i will have a hot dog served with an ice cold refreshing iced tea and for my second dish i would like some cheese curds without any sauce,0.07161426544189453
2024_07_09 10_23_39 6553CA.wav,"I need a hamburger with yellow mustard and a hot dog that's not split open, please.",i need a hamburger with yellow mustard and a hot dog let's not split open please,0.05523395538330078
2024_07_15 16_22_59 kHYpVA.wav,"Could I get a delicious lasagna topped with rich, flavorful marinara sauce?",can i get a delicious lasagna topped with rich flavorful mariana sauce,0.05967521667480469
2024_07_30 02_04_03 lGDXAg.wav,"I would love to order a Denver Omelet served with one delicious pancake on the side, please.",i would love to order a denver omelette served with one delicious pancake on the side please,0.056600332260131836
2024_07_15 19_43_19 24Dxew.wav,"May I order a half portion of the Tandoori Chicken prepared in a milder spice blend, please?",may i order a half portion of tandori chicken prepared in a milder spice blend please,0.059744834899902344
2024_07_14 05_49_01 _yveww.wav,"May I get the Plant-Based Nuggets Meal, please? Could you add some red bell peppers to it for an extra crunch and flavor? Thank you.",may i get the plant based nugget meal please could you add some red bell peppers to it for an extra crunch and flavor thank you,0.07849574089050293
2024_07_18 11_38_05 tVRNIA.wav,May I please have a classic cheeseburger accompanied by a side of crispy French fries? Thank you!,may i have a classic cheeseburger accompanied by the side of crispy french fries thank you,0.07167768478393555
2024_07_07 17_47_29 3KoD3A.wav,Could you please serve me a Torta Mexicana with Barbacoa filling? Thank you!,could you please serve me a torta mexicana with barbacoa filling thank you,0.06279659271240234
